date,store,item,sales
1/1/13,10,46,30
1/2/13,10,46,30
1/3/13,10,46,30
1/4/13,10,46,37
1/5/13,10,46,28
1/6/13,10,46,32
1/7/13,10,46,15
1/8/13,10,46,23
1/9/13,10,46,23
1/10/13,10,46,38
1/11/13,10,46,29
1/12/13,10,46,31
1/13/13,10,46,47
1/14/13,10,46,22
1/15/13,10,46,30
1/16/13,10,46,17
1/17/13,10,46,31
1/18/13,10,46,38
1/19/13,10,46,25
1/20/13,10,46,39
1/21/13,10,46,34
1/22/13,10,46,27
1/23/13,10,46,26
1/24/13,10,46,38
1/25/13,10,46,33
1/26/13,10,46,35
1/27/13,10,46,31
1/28/13,10,46,29
1/29/13,10,46,27
1/30/13,10,46,27
1/31/13,10,46,29
2/1/13,10,46,35
2/2/13,10,46,37
2/3/13,10,46,39
2/4/13,10,46,20
2/5/13,10,46,24
2/6/13,10,46,24
2/7/13,10,46,24
2/8/13,10,46,31
2/9/13,10,46,34
2/10/13,10,46,35
2/11/13,10,46,23
2/12/13,10,46,28
2/13/13,10,46,32
2/14/13,10,46,49
2/15/13,10,46,48
2/16/13,10,46,40
2/17/13,10,46,42
2/18/13,10,46,31
2/19/13,10,46,32
2/20/13,10,46,24
2/21/13,10,46,36
2/22/13,10,46,37
2/23/13,10,46,45
2/24/13,10,46,35
2/25/13,10,46,27
2/26/13,10,46,27
2/27/13,10,46,38
2/28/13,10,46,40
3/1/13,10,46,40
3/2/13,10,46,59
3/3/13,10,46,36
3/4/13,10,46,30
3/5/13,10,46,48
3/6/13,10,46,34
3/7/13,10,46,34
3/8/13,10,46,39
3/9/13,10,46,52
3/10/13,10,46,47
3/11/13,10,46,24
3/12/13,10,46,30
3/13/13,10,46,23
3/14/13,10,46,26
3/15/13,10,46,43
3/16/13,10,46,58
3/17/13,10,46,55
3/18/13,10,46,37
3/19/13,10,46,31
3/20/13,10,46,31
3/21/13,10,46,39
3/22/13,10,46,50
3/23/13,10,46,35
3/24/13,10,46,55
3/25/13,10,46,22
3/26/13,10,46,31
3/27/13,10,46,40
3/28/13,10,46,34
3/29/13,10,46,40
3/30/13,10,46,46
3/31/13,10,46,42
4/1/13,10,46,40
4/2/13,10,46,43
4/3/13,10,46,30
4/4/13,10,46,56
4/5/13,10,46,57
4/6/13,10,46,57
4/7/13,10,46,67
4/8/13,10,46,29
4/9/13,10,46,39
4/10/13,10,46,40
4/11/13,10,46,53
4/12/13,10,46,30
4/13/13,10,46,42
4/14/13,10,46,43
4/15/13,10,46,44
4/16/13,10,46,41
4/17/13,10,46,45
4/18/13,10,46,50
4/19/13,10,46,47
4/20/13,10,46,54
4/21/13,10,46,54
4/22/13,10,46,39
