,date,sales
0,2013-01-01,46945
1,2013-02-01,46981
2,2013-03-01,63082
3,2013-04-01,69628
4,2013-05-01,78329
5,2013-06-01,81430
6,2013-07-01,87337
7,2013-08-01,78597
8,2013-09-01,70755
9,2013-10-01,66970
10,2013-11-01,70706
11,2013-12-01,51890
12,2014-01-01,54045
13,2014-02-01,54313
14,2014-03-01,72079
15,2014-04-01,80293
16,2014-05-01,90410
17,2014-06-01,92657
18,2014-07-01,101543
19,2014-08-01,91394
20,2014-09-01,80472
21,2014-10-01,77841
22,2014-11-01,82625
23,2014-12-01,59079
24,2015-01-01,56783
25,2015-02-01,56186
26,2015-03-01,74750
27,2015-04-01,84456
28,2015-05-01,94730
29,2015-06-01,96173
30,2015-07-01,106170
31,2015-08-01,94066
32,2015-09-01,83931
33,2015-10-01,82042
34,2015-11-01,84640
35,2015-12-01,62193
36,2016-01-01,61483
37,2016-02-01,62777
38,2016-03-01,81016
39,2016-04-01,92566
40,2016-05-01,101394
41,2016-06-01,104816
42,2016-07-01,116535
43,2016-08-01,99919
44,2016-09-01,91878
45,2016-10-01,88590
46,2016-11-01,91530
47,2016-12-01,68068
48,2017-01-01,63068
49,2017-02-01,63632
50,2017-03-01,84424
51,2017-04-01,96768
52,2017-05-01,104689
53,2017-06-01,108813
54,2017-07-01,119832
55,2017-08-01,105086
56,2017-09-01,95763
57,2017-10-01,91471
58,2017-11-01,94718
59,2017-12-01,70759
60,2018-01-01,71093
61,2018-02-01,64943
62,2018-03-01,70056
63,2018-04-01,83650
64,2018-05-01,83317
65,2018-06-01,98370
66,2018-07-01,91336
67,2018-08-01,107636
68,2018-09-01,91434
69,2018-10-01,92241
70,2018-11-01,92443
71,2018-12-01,82724
